latitude,longitude
19.06032522,-155.5858482
19.4945343,-154.9482994
19.6423868,-155.993869
19.64242018,-155.9933147
19.64242586,-155.9932899
19.6427904,-155.9966348
19.64359514,-156.0005426
19.643692,-156.000626
19.6862207,-156.018854
19.697112,-155.063435
19.7014872,-155.0664851
19.70315007,-155.0675155
19.703213,-155.093768
19.7074621,-155.0646222
19.719996,-155.0823622
19.72029633,-155.0858382
19.7246555,-155.0888536
20.71136284,-156.4450378
20.72992167,-156.450949
20.7301569,-156.450899
20.7318826,-156.4518892
20.7503776,-156.4557813
20.763954,-156.457676
20.771458,-156.451966
20.87644019,-156.6784103
20.8765655,-156.6785498
20.877559,-156.678493
20.88223865,-156.6812297
20.8825442,-156.6811325
20.884848,-156.4577563
20.8861915,-156.4530368
20.8862816,-156.4530833
20.8874289,-156.6826445
20.887964,-156.47428
20.8891078,-156.4619766
20.8977912,-156.4903728
20.9036869,-156.488115
20.90380418,-156.4855126
20.9043295,-156.4883346
20.9057897,-156.4863669
20.9057897,-156.4863669
21.2748698,-157.8154632
21.2787427,-157.7839944
21.27895786,-157.8275427
21.28100176,-157.8315469
21.2854433,-157.8380427
21.28640812,-157.8336215
21.2864756,-157.8334505
21.288998,-157.820191
21.290978,-157.820676
21.2922679,-157.8453131
21.29241552,-157.8221527
21.29269218,-157.8369446
21.293776,-157.841204
21.29400806,-157.8468331
21.2945085,-157.8306045
21.2947022,-157.8562215
21.2947751,-157.8416622
21.2949831,-157.8309166
21.2949831,-157.8309166
21.29711623,-157.8383975
21.2982349,-157.855173
21.29999,-157.85666
21.3076059,-157.8609337
21.309678,-157.860137
21.3138725,-157.8582969
21.3142258,-157.8615349
21.31521164,-158.0209695
21.3187153,-157.865355
21.3189685,-158.0152462
21.3199004,-158.0888182
21.3214148,-157.876157
21.3217545,-157.8725967
21.32198586,-157.8597429
21.322592,-157.883373
21.322592,-157.883373
21.3314352,-157.8761525
21.3433967,-157.8390944
21.34362697,-157.8388723
21.3471908,-157.895837
21.34725083,-157.896304
21.3478972,-157.9327651
21.3786192,-157.9297359
21.37882617,-157.9317504
21.37912286,-158.0236628
21.37924846,-157.9297203
21.379366,-157.932132
21.38105406,-157.942254
21.3810703,-157.9421973
21.3810703,-157.9421973
21.3817515,-158.0168899
21.38272809,-157.941352
21.3829755,-157.9506613
21.3829859,-157.9504443
21.3854624,-157.9416511
21.388243,-157.9548639
21.3917879,-157.9653618
21.3927788,-157.9677007
21.40109013,-157.7455594
21.4025208,-157.7992765
21.4170478,-157.801147
21.42030196,-157.8050788
21.4445,-158.1877
21.45822236,-158.0178903
21.459539,-158.015314
21.459539,-158.015314
21.49247613,-158.0470717
21.49469947,-158.0298758
21.4948358,-158.0293818
21.4949973,-158.0285394
21.4959848,-158.0293157
21.496985,-158.030335
21.96147251,-159.3534561
21.96162021,-159.3530591
21.9765931,-159.3674033
21.995226,-159.354268
22.0761626,-159.3188945
24.5582933,-81.788095
24.5589848,-81.8065128
24.5592818,-81.8056177
24.709091,-81.101089
24.72867113,-81.03668852
25.447403,-80.490948
25.447403,-80.490948
